2022-01-15 11:56:21,625 | root | DEBUG | old value: parent and new_value : block-v1:test+101+2014_T1+size@5+type@vertical+block@7629a70459ba4bb49fddd15a38736bbe
2022-01-15 11:56:21,625 | root | DEBUG | old value: student_view_url and new_value : http://localhost:8000/xblock/block-v1:test+101+2014_T1+size@5+type@problem+block@99cdba267cd04190943c5d6679d126b3
2022-01-15 11:56:21,625 | root | DEBUG | old value: lms_web_url and new_value : http://localhost:8000/courses/course-v1:test+101+2014_T1/jump_to/block-v1:test+101+2014_T1+size@5+type@problem+block@99cdba267cd04190943c5d6679d126b3
2022-01-15 11:56:21,625 | root | DEBUG | old value: type and new_value : problem
2022-01-15 11:56:21,625 | root | DEBUG | old value: id and new_value : block-v1:test+101+2014_T1+size@5+type@problem+block@99cdba267cd04190943c5d6679d126b3
2022-01-15 11:56:21,625 | root | DEBUG | old key: block-v1:test+101+2014_T1+type@discussion+block@eb0e031a5a3d4fd8b182310a4ea7e870 and new_key : block-v1:test+101+2014_T1+size@5+type@discussion+block@eb0e031a5a3d4fd8b182310a4ea7e870
2022-01-15 11:56:21,625 | root | DEBUG | old value: display_name and new_value : Discussion
2022-01-15 11:56:21,625 | root | DEBUG | old value: parent and new_value : block-v1:test+101+2014_T1+size@5+type@vertical+block@9194a768f4c74eaf943695d12a896d3b
2022-01-15 11:56:21,625 | root | DEBUG | old value: student_view_url and new_value : http://localhost:8000/xblock/block-v1:test+101+2014_T1+size@5+type@discussion+block@eb0e031a5a3d4fd8b182310a4ea7e870
2022-01-15 11:56:21,625 | root | DEBUG | old value: lms_web_url and new_value : http://localhost:8000/courses/course-v1:test+101+2014_T1/jump_to/block-v1:test+101+2014_T1+size@5+type@discussion+block@eb0e031a5a3d4fd8b182310a4ea7e870
2022-01-15 11:56:21,625 | root | DEBUG | old value: type and new_value : discussion
2022-01-15 11:56:21,625 | root | DEBUG | old value: id and new_value : block-v1:test+101+2014_T1+size@5+type@discussion+block@eb0e031a5a3d4fd8b182310a4ea7e870
2022-01-15 11:56:21,625 | root | DEBUG | old key: block-v1:test+101+2014_T1+type@sequential+block@6d4aec0ce1334d86b113263d24e1d1ac and new_key : block-v1:test+101+2014_T1+size@5+type@sequential+block@6d4aec0ce1334d86b113263d24e1d1ac
2022-01-15 11:56:21,625 | root | DEBUG | old value: display_name and new_value : Subsection
2022-01-15 11:56:21,625 | root | DEBUG | old value: parent and new_value : block-v1:test+101+2014_T1+size@5+type@chapter+block@cd702a4916ce401aab60f3c3d5f212e0
2022-01-15 11:56:21,625 | root | DEBUG | old value: student_view_url and new_value : http://localhost:8000/xblock/block-v1:test+101+2014_T1+size@5+type@sequential+block@6d4aec0ce1334d86b113263d24e1d1ac
2022-01-15 11:56:21,625 | root | DEBUG | old value: id and new_value : block-v1:test+101+2014_T1+size@5+type@sequential+block@6d4aec0ce1334d86b113263d24e1d1ac
2022-01-15 11:56:21,625 | root | DEBUG | old value: lms_web_url and new_value : http://localhost:8000/courses/course-v1:test+101+2014_T1/jump_to/block-v1:test+101+2014_T1+size@5+type@sequential+block@6d4aec0ce1334d86b113263d24e1d1ac
2022-01-15 11:56:21,625 | root | DEBUG | old value: type and new_value : sequential
2022-01-15 11:56:21,625 | root | DEBUG | old value: children and new_value : block-v1:test+101+2014_T1+size@5+type@vertical+block@f3fc3f0d85ea4b529192be3f70ab4d80
2022-01-15 11:56:21,625 | root | DEBUG | old key: block-v1:test+101+2014_T1+type@sequential+block@e5d9013de2244a0c973a15d083a6b84b and new_key : block-v1:test+101+2014_T1+size@5+type@sequential+block@e5d9013de2244a0c973a15d083a6b84b
2022-01-15 11:56:21,625 | root | DEBUG | old value: display_name and new_value : Subsection
2022-01-15 11:56:21,625 | root | DEBUG | old value: parent and new_value : block-v1:test+101+2014_T1+size@5+type@chapter+block@cd702a4916ce401aab60f3c3d5f212e0
2022-01-15 11:56:21,625 | root | DEBUG | old value: student_view_url and new_value : http://localhost:8000/xblock/block-v1:test+101+2014_T1+size@5+type@sequential+block@e5d9013de2244a0c973a15d083a6b84b
